epoch,phase,train_loss,train_acc,train_recall,train_precision,val_loss,val_acc,val_recall,val_precision,lr
1,P1,0.4919,0.8071,0.8914,0.8350,0.5385,0.7610,0.9479,0.7636,0.0001
2,P1,0.4385,0.8244,0.8700,0.8707,0.5046,0.7768,0.9389,0.7820,0.0001
3,P1,0.4279,0.8291,0.8773,0.8713,0.5081,0.7695,0.8649,0.8136,0.0001
4,P1,0.4200,0.8392,0.8843,0.8790,0.5059,0.7723,0.8673,0.8152,0.0001
5,P1,0.4126,0.8410,0.8908,0.8766,0.5059,0.7746,0.8628,0.8204,0.0001
6,P2,0.4014,0.8445,0.8980,0.8757,0.4938,0.7833,0.8950,0.8111,1e-05
7,P2,0.3783,0.8569,0.9086,0.8835,0.4770,0.7971,0.9117,0.8163,1e-05
8,P2,0.3679,0.8638,0.9173,0.8857,0.4836,0.7903,0.9007,0.8154,1e-05
9,P2,0.3612,0.8649,0.9205,0.8848,0.4728,0.8002,0.9052,0.8234,1e-05
10,P2,0.3558,0.8668,0.9236,0.8848,0.4692,0.8030,0.9088,0.8243,1e-05
11,P2,0.3362,0.8758,0.9261,0.8943,0.4684,0.7982,0.8942,0.8278,1e-05
12,P2,0.3360,0.8690,0.9213,0.8893,0.4561,0.8078,0.9105,0.8285,1e-05
13,P2,0.3315,0.8741,0.9215,0.8956,0.4673,0.8075,0.9255,0.8195,1e-05
14,P2,0.3295,0.8796,0.9325,0.8942,0.4634,0.8013,0.8913,0.8330,1e-05
15,P2,0.3113,0.8845,0.9304,0.9021,0.4608,0.8069,0.9096,0.8281,1e-05
16,P3,0.3170,0.8808,0.9283,0.8990,0.4852,0.8035,0.9117,0.8232,1e-05
17,P3,0.2997,0.8887,0.9346,0.9043,0.4837,0.8156,0.9442,0.8175,1e-05
18,P3,0.2987,0.8877,0.9275,0.9086,0.4440,0.8128,0.9312,0.8218,1e-05
19,P3,0.2915,0.8946,0.9367,0.9104,0.4607,0.8247,0.9491,0.8240,1e-05
20,P3,0.2861,0.8955,0.9364,0.9116,0.4421,0.8213,0.9056,0.8467,1e-05
21,P3,0.2811,0.8973,0.9360,0.9144,0.4573,0.8140,0.9068,0.8376,1e-05
22,P3,0.2706,0.8993,0.9348,0.9180,0.4385,0.8269,0.9312,0.8369,1e-05
23,P3,0.2639,0.9011,0.9344,0.9208,0.4949,0.8272,0.9638,0.8185,1e-05
24,P3,0.2662,0.9033,0.9404,0.9188,0.4450,0.8255,0.9044,0.8523,1e-05
25,P3,0.2585,0.9050,0.9383,0.9228,0.4507,0.8345,0.9723,0.8212,1e-05
26,P3,0.2609,0.9015,0.9348,0.9210,0.4444,0.8348,0.9703,0.8226,1e-05
27,P3,0.2549,0.9076,0.9418,0.9232,0.4296,0.8325,0.9304,0.8435,1e-05
28,P3,0.2464,0.9070,0.9394,0.9246,0.4111,0.8368,0.9202,0.8548,1e-05
29,P3,0.2434,0.9108,0.9441,0.9257,0.4577,0.8041,0.8409,0.8714,1e-05
30,P3,0.2415,0.9116,0.9375,0.9325,0.4134,0.8424,0.9430,0.8465,5e-06
31,P3,0.2335,0.9133,0.9414,0.9314,0.4136,0.8345,0.9239,0.8499,5e-06
32,P3,0.2377,0.9147,0.9462,0.9292,0.4097,0.8438,0.9455,0.8466,5e-06
33,P3,0.2316,0.9156,0.9470,0.9297,0.4183,0.8441,0.9524,0.8426,5e-06
34,P3,0.2342,0.9159,0.9466,0.9304,0.4051,0.8410,0.9162,0.8625,2.5e-06
35,P3,0.2266,0.9188,0.9475,0.9337,0.4065,0.8393,0.9158,0.8607,2.5e-06
36,P3,0.2260,0.9181,0.9464,0.9336,0.4037,0.8480,0.9430,0.8528,2.5e-06
37,P3,0.2203,0.9188,0.9489,0.9324,0.3995,0.8463,0.9304,0.8591,2.5e-06
38,P3,0.2234,0.9190,0.9452,0.9358,0.4005,0.8466,0.9369,0.8551,1.25e-06
39,P3,0.2263,0.9162,0.9443,0.9327,0.3996,0.8472,0.9337,0.8579,1.25e-06
40,P3,0.2248,0.9171,0.9462,0.9325,0.3993,0.8466,0.9316,0.8586,1.25e-06
41,P3,0.2258,0.9197,0.9483,0.9341,0.3998,0.8460,0.9337,0.8566,1.25e-06
42,P3,0.2211,0.9181,0.9458,0.9342,0.4010,0.8460,0.9320,0.8577,6.25e-07
43,P3,0.2189,0.9228,0.9481,0.9385,0.4015,0.8458,0.9337,0.8563,6.25e-07
44,P3,0.2141,0.9230,0.9518,0.9357,0.3999,0.8475,0.9369,0.8561,6.25e-07
45,P3,0.2181,0.9202,0.9512,0.9324,0.3992,0.8444,0.9296,0.8574,6.25e-07
46,P3,0.2245,0.9176,0.9452,0.9339,0.4010,0.8469,0.9353,0.8565,3.125e-07
47,P3,0.2235,0.9169,0.9454,0.9328,0.3995,0.8455,0.9296,0.8586,3.125e-07
48,P3,0.2246,0.9218,0.9504,0.9352,0.4005,0.8463,0.9296,0.8596,3.125e-07
49,P3,0.2265,0.9194,0.9456,0.9361,0.3989,0.8475,0.9324,0.8590,3.125e-07
50,P3,0.2163,0.9237,0.9489,0.9392,0.4011,0.8458,0.9337,0.8563,1.5625e-07
